#wvl [um]      Flux [erg/s/cm]
5.5            69132.4869        
5.496976663    69170.6389        
5.493956648    69181.668         
5.490939949    69233.4748        
5.487926562    69263.6264        
5.48491648     69340.7411        
5.481909698    69391.4245        
5.478906211    69426.7234        
5.475906014    69407.3975        
5.4729091      69394.7189        
5.469915465    69512.6431        
5.466925103    69570.4683        
5.463938009    69599.3341        
5.460954178    69640.1799        
5.457973603    69680.5537        
5.454996281    69667.0172        
5.452022205    69589.0142        
5.44905137     69797.9217        
5.446083771    69814.2253        
5.443119402    69891.5569        
5.440158259    69924.7141        
5.437200336    69934.1708        
5.434245628    69998.24          
5.431294129    70039.9689        
5.428345835    70115.7878        
5.42540074     70132.9766        
5.422458839    70155.2811        
5.419520126    70137.9134        
5.416584597    70230.3584        
5.413652247    70155.1435        
5.410723069    70349.2926        
5.40779706     70210.0245        
5.404874214    70421.8572        
5.401954525    70444.2855        
5.39903799     70523.6378        
5.396124601    70540.9603        
5.393214356    70547.9987        
5.390307248    70577.4632        
5.387403272    70591.4474        
5.384502423    70453.5252        
5.381604697    70745.5485        
5.378710088    70760.3856        
5.375818591    70834.4304        
5.372930201    70876.7117        
5.370044913    70007.2484        
5.367162723    70958.5689        
5.364283624    71024.8288        
5.361407613    71017.5556        
5.358534684    70969.205         
5.355664833    71116.2719        
5.352798054    70990.1968        
5.349934342    71032.0397        
5.347073692    71268.8639        
5.344216101    71228.4415        
5.341361562    71325.6627        
5.33851007     71123.2756        
5.335661622    71145.8944        
5.332816212    71448.6334        
5.329973835    71454.7032        
5.327134486    71472.3833        
5.324298161    71085.3371        
5.321464854    71499.363         
5.318634561    71391.4565        
5.315807278    71666.9141        
5.312982998    71487.7233        
5.310161719    71801.4066        
5.307343433    71783.074         
5.304528138    71834.0085        
5.301715828    71713.6458        
5.298906498    71820.1529        
5.296100144    71948.9473        
5.293296761    72020.2336        
5.290496345    71969.2267        
5.28769889     72096.4774        
5.284904391    72125.4663        
5.282112845    71713.6075        
5.279324246    72137.1747        
5.276538591    72022.8144        
5.273755873    72130.0803        
5.270976089    72321.3146        
5.268199234    72175.0563        
5.265425303    72393.147         
5.262654291    72374.4402        
5.259886195    71972.5981        
5.257121009    72562.0432        
5.254358729    72010.3718        
5.251599351    72528.0088        
5.248842869    72489.1766        
5.246089279    72092.1251        
5.243338577    71829.7508        
5.240590758    72669.9048        
5.237845817    72503.0174        
5.23510375     72871.4536        
5.232364553    72844.7415        
5.229628221    72938.3096        
5.226894749    72936.0095        
5.224164134    72921.1445        
5.22143637     72952.5898        
5.218711453    73092.8204        
5.215989378    72994.2481        
5.213270142    73030.245         
5.21055374     73117.6191        
5.207840167    73202.2281        
5.205129418    72629.9638        
5.202421491    73112.7063        
5.199716379    72972.275         
5.197014079    73447.5304        
5.194314587    73436.5108        
5.191617897    73468.3126        
5.188924006    73238.3082        
5.186232909    73382.7751        
5.183544602    72516.231         
5.180859081    73659.3536        
5.17817634     73442.4505        
5.175496377    73364.1496        
5.172819186    73725.5848        
5.170144764    73816.4675        
5.167473106    73701.2235        
5.164804207    73764.2476        
5.162138064    73523.8211        
5.159474672    73343             
5.156814027    73830.3897        
5.154156124    74018.0062        
5.15150096     74034.1275        
5.14884853     73420.6763        
5.14619883     73973.2314        
5.143551856    72041.9995        
5.140907604    74172.5968        
5.138266069    74123.1747        
5.135627247    74268.8912        
5.132991134    74365.0117        
5.130357726    74107.2377        
5.127727018    74396.9772        
5.125099008    74232.8937        
5.122473689    73966.1916        
5.119851059    74200.0557        
5.117231113    74255.7136        
5.114613847    74601.7329        
5.111999256    74439.924         
5.109387338    74594.6845        
5.106778087    74678.8463        
5.1041715      74359.9654        
5.101567573    74716.1644        
5.0989663      74786.6025        
5.09636768     73592.2757        
5.093771706    74720.1574        
5.091178376    74728.9419        
5.088587686    74748.0567        
5.08599963     74832.2495        
5.083414206    74957.6631        
5.080831409    75142.172         
5.078251235    74858.6535        
5.07567368     75201.3134        
5.073098741    75168.6541        
5.070526413    75300.5473        
5.067956692    75265.2481        
5.065389575    75318.6731        
5.062825056    75368.7836        
5.060263134    74731.1053        
5.057703802    75532.8167        
5.055147059    75458.0048        
5.052592899    75422.2114        
5.050041319    75489.482         
5.047492314    75405.3162        
5.044945881    75630.3199        
5.042402017    75490.7944        
5.039860717    75537.2165        
5.037321976    75781.4408        
5.034785793    75578.2059        
5.032252162    75663.4777        
5.029721079    75860.5111        
5.027192541    75892.1748        
5.024666545    75868.8601        
5.022143085    75876.1175        
5.019622159    76064.185         
5.017103763    75922.8757        
5.014587892    75952.4802        
5.012074543    75225.6846        
5.009563713    75938.6111        
5.007055396    76207.7011        
5.004549591    75965.6265        
5.002046292    75984.5777        
4.999545496    76347.8089        
4.997047199    76156.4575        
4.994551398    76188.1582        
4.992058089    76161.4086        
4.989567268    76229.5887        
4.987078932    76377.8025        
4.984593076    76375.7101        
4.982109697    76577.9631        
4.979628791    76588.909         
4.977150355    76680.6857        
4.974674385    75740.532         
4.972200877    76578.1162        
4.969729827    76591.5332        
4.967261233    76785.7894        
4.964795089    76200.2603        
4.962331394    76328.4636        
4.959870142    76308.7794        
4.95741133     76845.3054        
4.954954955    76762.7967        
4.952501013    76987.7204        
4.9500495      76940.936         
4.947600414    77147.9447        
4.945153749    76667.244         
4.942709503    77230.24          
4.940267673    77148.3132        
4.937828253    77301.2036        
4.935391242    77277.1032        
4.932956635    77293.6493        
4.930524429    76596.0365        
4.928094619    76864.2047        
4.925667204    77327.3119        
4.923242179    77326.7744        
4.92081954     77376.2106        
4.918399285    77248.2794        
4.915981409    77645.2417        
4.913565909    77365.2838        
4.911152781    77370.5927        
4.908742023    77796.8345        
4.906333631    77624.2639        
4.9039276      77745.7713        
4.901523928    76876.7468        
4.899122612    77201.4197        
4.896723647    76644.2393        
4.89432703     77791.9194        
4.891932758    78019.811         
4.889540828    77543.8899        
4.887151235    77755.6485        
4.884763977    77775.3158        
4.88237905     78027.197         
4.879996451    77361.4665        
4.877616176    78122.5817        
4.875238222    77680.6524        
4.872862585    77626.7835        
4.870489263    78350.9143        
4.868118251    78162.7808        
4.865749547    78238.2702        
4.863383146    78452.9382        
4.861019046    78384.5797        
4.858657244    78062.1156        
4.856297735    78203.5573        
4.853940517    77763.6473        
4.851585586    78222.7707        
4.84923294     78609.2237        
4.846882573    78147.9969        
4.844534484    78134.4738        
4.842188669    77735.1257        
