#wvl [um]      Flux [erg/s/cm]
5.5            57982.896         
5.496976663    41524.6329        
5.493956648    34637.6204        
5.490939949    35755.1357        
5.487926562    43692.2446        
5.48491648     47724.7345        
5.481909698    56102.3131        
5.478906211    38677.2459        
5.475906014    53989.9625        
5.4729091      42608.6214        
5.469915465    49779.2423        
5.466925103    48749.0902        
5.463938009    44386.8739        
5.460954178    56124.0888        
5.457973603    59248.9667        
5.454996281    35787.5511        
5.452022205    48820.2344        
5.44905137     54616.6567        
5.446083771    50814.0277        
5.443119402    34797.8214        
5.440158259    54283.1598        
5.437200336    35898.4457        
5.434245628    55076.8649        
5.431294129    42460.2184        
5.428345835    37493.297         
5.42540074     57771.585         
5.422458839    34867.399         
5.419520126    40086.3663        
5.416584597    40114.8657        
5.413652247    60135.6063        
5.410723069    42817.8146        
5.40779706     50590.9505        
5.404874214    35220.8145        
5.401954525    52034.3825        
5.39903799     62238.7797        
5.396124601    54852.9415        
5.393214356    35808.7968        
5.390307248    36300.8079        
5.387403272    54034.8364        
5.384502423    37559.2782        
5.381604697    51349.0965        
5.378710088    40019.2819        
5.375818591    52896.7181        
5.372930201    44669.2819        
5.370044913    42156.8063        
5.367162723    56908.4946        
5.364283624    35371.2211        
5.361407613    52208.8674        
5.358534684    44426.6352        
5.355664833    40387.9904        
5.352798054    58730.1127        
5.349934342    51702.2335        
5.347073692    45342.3544        
5.344216101    54543.4242        
5.341361562    35547.2316        
5.33851007     44886.3614        
5.335661622    58753.699         
5.332816212    59553.2956        
5.329973835    43329.7442        
5.327134486    47829.2961        
5.324298161    49526.8273        
5.321464854    48160.7897        
5.318634561    54293.1418        
5.315807278    42417.0679        
5.312982998    58229.4418        
5.310161719    50955.5986        
5.307343433    55091.0829        
5.304528138    35398.4959        
5.301715828    50214.3577        
5.298906498    40917.4028        
5.296100144    48223.2468        
5.293296761    42335.202         
5.290496345    50122.485         
5.28769889     53452.0791        
5.284904391    52236.0142        
5.282112845    45302.7523        
5.279324246    41512.0058        
5.276538591    37201.7203        
5.273755873    51705.5184        
5.270976089    42553.1836        
5.268199234    46400.6049        
5.265425303    60078.5501        
5.262654291    45373.3389        
5.259886195    58165.4128        
5.257121009    52317.6094        
5.254358729    36391.0613        
5.251599351    48119.6407        
5.248842869    36004.5836        
5.246089279    52686.5047        
5.243338577    48769.5717        
5.240590758    38565.0756        
5.237845817    58583.6332        
5.23510375     50689.3173        
5.232364553    35644.2968        
5.229628221    37188.4651        
5.226894749    51620.4048        
5.224164134    52634.485         
5.22143637     36079.1007        
5.218711453    42254.7733        
5.215989378    55208.5883        
5.213270142    37670.5867        
5.21055374     35819.4095        
5.207840167    49078.7925        
5.205129418    56896.8509        
5.202421491    48257.53          
5.199716379    41095.0282        
5.197014079    54245.5388        
5.194314587    56643.3675        
5.191617897    55235.243         
5.188924006    39581.7911        
5.186232909    50115.0857        
5.183544602    56078.4976        
5.180859081    54362.0004        
5.17817634     59112.5676        
5.175496377    49034.9055        
5.172819186    41403.5798        
5.170144764    50259.9797        
5.167473106    37466.8529        
5.164804207    46858.9336        
5.162138064    47354.1924        
5.159474672    48647.3747        
5.156814027    37055.4694        
5.154156124    60235.1028        
5.15150096     61052.7623        
5.14884853     53746.3661        
5.14619883     41244.3446        
5.143551856    39563.2218        
5.140907604    56548.9538        
5.138266069    59288.8865        
5.135627247    53279.4379        
5.132991134    36844.6153        
5.130357726    48966.9534        
5.127727018    46696.5603        
5.125099008    46749.276         
5.122473689    39903.2695        
5.119851059    44928.2942        
5.117231113    43458.2895        
5.114613847    38083.5429        
5.111999256    37994.1521        
5.109387338    37109.266         
5.106778087    47026.0822        
5.1041715      42503.2389        
5.101567573    55432.627         
5.0989663      36344.9546        
5.09636768     38740.1039        
5.093771706    39387.1732        
5.091178376    46193.5461        
5.088587686    55233.256         
5.08599963     51223.5204        
5.083414206    45898.3264        
5.080831409    37067.2845        
5.078251235    46572.633         
5.07567368     43781.0881        
5.073098741    49663.5476        
5.070526413    39638.824         
5.067956692    46885.4829        
5.065389575    40588.1807        
5.062825056    45336.1517        
5.060263134    55181.2509        
5.057703802    54664.9933        
5.055147059    41556.3269        
5.052592899    36827.8551        
5.050041319    57097.5061        
5.047492314    43778.0336        
5.044945881    38680.9154        
5.042402017    37957.4341        
5.039860717    42871.5687        
5.037321976    50826.4766        
5.034785793    53167.2137        
5.032252162    42026.7221        
5.029721079    37978.3893        
5.027192541    42734.7029        
5.024666545    43355.8131        
5.022143085    39710.6297        
5.019622159    42938.8786        
5.017103763    47987.5368        
5.014587892    44455.3803        
5.012074543    46009.1181        
5.009563713    52197.9875        
5.007055396    44760.0232        
5.004549591    48670.8414        
5.002046292    42396.1462        
4.999545496    38458.4756        
4.997047199    52626.5594        
4.994551398    38442.0507        
4.992058089    42503.2165        
4.989567268    37903.7834        
4.987078932    55498.8596        
4.984593076    52147.5163        
4.982109697    46710.3761        
4.979628791    41153.1675        
4.977150355    48551.0631        
4.974674385    54252.5385        
4.972200877    37792.9792        
4.969729827    39876.6327        
4.967261233    37373.2445        
4.964795089    50643.1675        
4.962331394    41840.8627        
4.959870142    41597.6207        
4.95741133     38441.048         
4.954954955    36819.4999        
4.952501013    52560.9696        
4.9500495      46430.8291        
4.947600414    43334.303         
4.945153749    49118.0247        
4.942709503    39648.9028        
4.940267673    52917.8901        
4.937828253    37230.94          
4.935391242    50063.2238        
4.932956635    45038.8571        
4.930524429    45754.1324        
4.928094619    40831.8986        
4.925667204    37664.8966        
4.923242179    47612.8977        
4.92081954     39071.3564        
4.918399285    42454.9536        
4.915981409    37517.9499        
4.913565909    51447.8109        
4.911152781    49891.5059        
4.908742023    38685.6445        
4.906333631    41751.7416        
4.9039276      50669.9458        
4.901523928    54490.1768        
4.899122612    43595.5649        
4.896723647    44736.4659        
4.89432703     42454.2965        
4.891932758    54260.766         
4.889540828    51310.2994        
4.887151235    37577.9773        
4.884763977    42377.7886        
4.88237905     51574.7024        
4.879996451    54862.4988        
4.877616176    46346.825         
4.875238222    40942.5432        
4.872862585    38333.8659        
4.870489263    47372.1629        
4.868118251    50198.6503        
4.865749547    37806.3772        
4.863383146    40314.7747        
4.861019046    43718.4598        
4.858657244    50527.1846        
4.856297735    37437.1975        
4.853940517    39431.148         
4.851585586    50575.1959        
4.84923294     40282.6855        
4.846882573    40562.2716        
4.844534484    39469.7972        
4.842188669    45326.3416        
4.839845125    51121.0099        
4.837503848    38663.9884        
4.835164835    45175.5371        
4.832828083    40919.3651        
4.830493589    50815.5602        
4.828161348    39172.2354        
4.825831359    50104.2374        
4.823503618    37513.202         
4.821178121    49617.8381        
4.818854865    47692.0793        
4.816533847    43051.6543        
4.814215064    37731.7687        
4.811898513    44465.2606        
4.80958419     49948.1811        
4.807272092    53642.6784        
4.804962216    37565.126         
4.802654558    38767.3054        
4.800349116    38667.6728        
4.798045887    54469.063         
4.795744866    42510.706         
4.793446052    37794.42          
4.79114944     49015.0514        
4.788855028    50399.498         
4.786562813    43370.1871        
4.784272791    43204.452         
4.781984958    45444.3255        
4.779699313    37501.0678        
4.777415852    45262.4545        
4.775134572    46577.3315        
4.772855469    41469.4835        
4.770578541    47389.9343        
4.768303784    45524.8222        
4.766031196    49296.4591        
4.763760773    37932.7643        
4.761492511    52340.2683        
4.759226409    44102.2666        
4.756962463    48603.716         
4.75470067     37866.1971        
4.752441027    50308.9715        
4.75018353     40082.7946        
4.747928177    45815.7593        
4.745674964    40596.8396        
4.74342389     49111.9707        
4.741174949    39063.2556        
4.738928141    49627.6461        
4.73668346     43303.7204        
4.734440906    45339.7727        
4.732200473    47828.3027        
4.72996216     53533.4061        
4.727725964    44073.2808        
4.725491881    42955.1271        
4.723259908    54603.2114        
4.721030043    47774.2012        
4.718802282    44638.9125        
4.716576623    45854.9499        
4.714353062    54356.3895        
4.712131597    45831.0065        
4.709912224    42106.703         
4.707694941    44112.9533        
4.705479745    44733.7026        
4.703266632    37576.9767        
4.701055601    47862.678         
4.698846647    44397.5677        
4.696639768    54645.6823        
4.694434961    37744.977         
4.692232223    46315.8396        
4.690031551    48186.9028        
4.687832943    53075.0002        
4.685636395    48927.1664        
4.683441904    42240.6408        
4.681249468    39489.8256        
4.679059084    38271.3243        
4.676870748    43876.4485        
4.674684459    42109.331         
4.672500212    49833.1787        
4.670318006    56565.4911        
4.668137837    49282.0398        
4.665959703    53966.1929        
4.6637836      55283.0855        
4.661609527    51115.5499        
4.659437479    40569.0116        
4.657267454    39822.6068        
4.65509945     41279.963         
4.652933463    44576.2182        
4.650769491    51599.0397        
4.648607531    44092.1736        
4.64644758     38150.8396        
4.644289635    46259.744         
4.642133693    49609.2018        
4.639979753    45367.0981        
4.63782781     43111.439         
4.635677863    54154.1738        
4.633529907    39885.3719        
4.631383942    49696.0342        
4.629239963    50912.3905        
4.627097968    48019.9761        
4.624957955    42322.7637        
4.62281992     40233.8406        
4.620683861    45304.1543        
4.618549775    43942.6167        
4.61641766     43864.9176        
4.614287512    42999.7339        
4.612159329    51154.7194        
4.610033108    37866.8915        
4.607908847    41071.8258        
4.605786543    51779.0785        
4.603666192    47710.5161        
4.601547793    43363.8733        
4.599431343    38516.1695        
4.597316839    51880.1944        
4.595204278    38501.6384        
4.593093657    48057.2488        
4.590984975    51980.9075        
4.588878228    39024.1455        
4.586773413    44721.8906        
4.584670529    47305.9555        
4.582569572    43483.7911        
4.580470539    38048.3352        
4.578373429    47232.8805        
4.576278238    43018.2506        
4.574184963    38589.6028        
4.572093603    44680.7466        
4.570004155    46930.5592        
4.567916615    43441.112         
4.565830981    39549.6479        
4.563747251    46706.6447        
4.561665423    50236.9247        
4.559585492    39705.5642        
4.557507458    45760.2686        
4.555431317    51589.8968        
4.553357066    45400.7392        
4.551284704    43327.8437        
4.549214227    44402.937         
4.547145633    48222.2813        
4.545078919    39888.8895        
4.543014083    40334.2079        
4.540951123    50353.2328        
4.538890035    38077.6656        
4.536830817    41899.3403        
4.534773467    50196.7547        
4.532717983    39610.4792        
4.53066436     48359.7943        
4.528612598    50242.479         
4.526562693    42660.6417        
4.524514643    39343.2237        
4.522468446    45995.4817        
4.520424098    44339.6965        
4.518381598    45540.5328        
4.516340943    38455.6176        
4.51430213     46321.0399        
4.512265157    45100.268         
4.510230022    49469.794         
4.508196721    47205.6111        
4.506165253    43846.79          
4.504135615    52284.3759        
4.502107805    47153.8209        
4.50008182     43620.1665        
4.498057657    53364.2971        
4.496035314    43523.607         
4.494014789    45987.091         
4.49199608     53810.5679        
4.489979183    41549.5973        
4.487964096    46988.5161        
4.485950818    51015.9364        
4.483939345    44145.0662        
4.481929674    47061.584         
4.479921805    48544.1699        
4.477915734    40995.4229        
4.475911458    45146.4516        
4.473908976    47131.4983        
4.471908285    38235.782         
4.469909383    46049.4514        
4.467912266    51759.0245        
4.465916934    42286.0428        
4.463923383    54404.1648        
4.461931611    38260.8208        
4.459941615    48620.4195        
4.457953394    38380.8304        
4.455966945    41981.0064        
4.453982265    52479.1719        
4.451999352    52376.7172        
4.450018205    41085.56          
4.448038819    55582.963         
4.446061194    47027.7887        
4.444085326    49210.9394        
4.442111214    56484.1885        
4.440138855    38474.3827        
4.438168247    55993.3024        
4.436199387    50088.4577        
4.434232273    46440.9826        
4.432266903    56119.6072        
4.430303274    39020.9766        
4.428341385    49885.8854        
4.426381232    38683.4571        
4.424422814    51690.1326        
4.422466128    56660.1541        
4.420511172    39921.6059        
4.418557943    49890.2903        
4.41660644     47427.2352        
4.41465666     43803.6106        
4.412708601    54902.9315        
4.41076226     51327.6362        
4.408817635    58301.7874        
4.406874725    40713.0196        
4.404933526    58931.9548        
4.402994036    45222.8368        
4.401056254    59887.1571        
4.399120176    50399.363         
4.397185801    57308.9843        
4.395253127    57204.8557        
4.39332215     55118.8442        
4.39139287     45516.3029        
4.389465283    53762.7559        
4.387539388    62181.6342        
4.385615182    45417.4104        
4.383692663    63512.958         
4.381771829    50860.4317        
4.379852678    62877.5817        
4.377935207    51784.4368        
4.376019414    61560.345         
4.374105297    53506.9677        
4.372192853    57338.9453        
4.370282082    54619.8992        
4.36837298     62216.8456        
4.366465545    57705.7825        
4.364559775    50398.6069        
4.362655667    66432.9717        
4.360753221    52872.4799        
4.358852433    69509.6146        
4.356953301    42266.2117        
4.355055824    67542.4086        
4.353159998    61350.952         
4.351265823    56227.8214        
4.349373295    70067.05          
4.347482412    54224.698         
4.345593173    64928.6314        
4.343705576    71454.6791        
4.341819617    39147.657         
4.339935296    70612.3599        
4.338052609    71492.0346        
4.336171555    55092.0779        
4.334292131    69465.4819        
4.332414336    68228.0391        
4.330538168    59418.677         
4.328663623    44698.9568        
4.326790701    71051.478         
4.324919399    49578.2821        
4.323049715    77567.2613        
4.321181647    75088.4683        
4.319315192    70642.5781        
4.317450349    66564.1125        
4.315587116    64524.653         
4.31372549     64289.8077        
4.31186547     68924.393         
4.310007053    76080.4046        
4.308150237    78803.5091        
4.30629502     80051.068         
4.304441401    70969.406         
4.302589377    48056.004         
4.300738945    79721.8312        
4.298890105    42210.2361        
4.297042853    75639.2215        
4.295197189    57605.9943        
4.293353109    78715.1237        
4.291510612    84030.7057        
4.289669695    73477.7074        
4.287830358    79468.006         
4.285992597    87146.3409        
4.284156411    42538.66          
4.282321797    57827.3601        
4.280488754    85113.1812        
4.27865728     70458.4705        
4.276827372    75851.3008        
4.274999028    39284.5755        
4.273172248    76892.4976        
4.271347028    79672.3707        
4.269523366    75087.0733        
4.267701261    42323.7562        
4.26588071     82218.7257        
4.264061713    73491.8348        
4.262244265    63567.4503        
4.260428367    63378.2829        
4.258614015    86118.7525        
4.256801207    82146.9878        
4.254989943    51960.5382        
4.253180219    79937.6528        
4.251372034    70536.5725        
4.249565385    63755.0791        
4.247760272    81533.9906        
4.245956691    69756.7968        
4.244154642    81077.8928        
4.242354121    81698.6055        
4.240555127    64914.5006        
4.238757659    63991.5155        
4.236961713    46702.5758        
4.235167289    85641.9312        
4.233374384    78777.1628        
4.231582997    83626.8461        
4.229793125    85675.4659        
4.228004766    81192.18          
4.226217919    85346.26          
4.224432582    70490.3343        
4.222648752    75753.2182        
4.220866429    80152.2423        
4.219085609    86828.4227        
4.217306291    52094.9251        
4.215528474    56260.9841        
4.213752155    77916.5601        
4.211977332    84985.7377        
4.210204004    83082.4392        
4.208432168    62285.0742        
4.206661823    84524.9341        
4.204892966    73767.3357        
4.203125597    53432.5848        
4.201359713    79363.7943        
4.199595312    80250.3655        
4.197832392    65374.8465        
4.196070952    66058.1225        
4.194310989    60013.1368        
4.192552502    88286.0125        
4.190795489    87454.0224        
4.189039948    70639.2003        
4.187285877    73751.31          
4.185533275    71774.9583        
4.183782139    83509.3639        
4.182032468    63901.5941        
4.180284259    70585.4268        
4.178537512    86960.2067        
4.176792224    78351.3733        
4.175048393    41900.0954        
4.173306017    87365.3932        
4.171565095    71265.9394        
4.169825625    55680.7877        
4.168087606    73075.1012        
4.166351034    81201.506         
4.164615909    86088.1493        
4.162882228    49909.9718        
4.161149991    78494.2485        
4.159419194    86026.7591        
4.157689836    86390.9901        
4.155961916    67692.7231        
4.154235432    66320.6883        
4.152510381    77020.8483        
4.150786763    79953.5745        
4.149064575    84406.3283        
4.147343815    46992.3159        
4.145624482    76160.4151        
4.143906574    88118.0864        
4.142190089    70841.8853        
4.140475025    74165.7497        
4.138761382    87147.7248        
4.137049156    85998.4974        
4.135338346    88398.2028        
